table,domain,prisma_model,columns,primary_key,pk_type,fk_out,referenced_by,indexes,unique_indexes,soft_delete,jsonb,array_cols,decimal_cols
account_mappings,finance,AccountMapping,6,id,TEXT,2,0,1,1,,0,0,0
accounting_fx_rates,finance,AccountingFxRate,7,id,TEXT,0,0,1,1,,0,0,2
accounting_project_columns,operations,AccountingProjectColumn,6,id,UUID,1,0,2,1,,0,0,0
accounting_project_members,operations,AccountingProjectMember,5,id,UUID,2,0,1,1,,0,0,0
accounting_project_task_assignees,operations,AccountingProjectTaskAssignee,5,id,UUID,2,0,2,1,,0,0,0
accounting_project_task_comments,operations,AccountingProjectTaskComment,6,id,UUID,2,0,2,0,,0,0,0
accounting_project_tasks,operations,AccountingProjectTask,13,id,UUID,3,3,2,0,,0,0,0
accounting_projects,operations,AccountingProject,25,id,TEXT,1,3,4,1,,1,1,0
applications,content,Application,9,id,UUID,1,0,2,0,,0,0,0
appraisal_comments,performance,AppraisalComment,5,id,UUID,2,0,1,0,,0,0,0
appraisal_cycles,performance,AppraisalCycle,9,id,UUID,1,1,0,0,,0,0,0
appraisal_kras,performance,AppraisalKRA,9,id,UUID,2,0,1,0,,0,0,0
appraisal_ratings,performance,AppraisalRating,7,id,UUID,2,0,2,1,,0,0,0
appraisals,performance,Appraisal,13,id,UUID,3,4,3,1,,0,0,0
approval_chain_decisions,approval-chains,ApprovalChainDecision,12,id,TEXT,4,0,4,2,,0,0,0
approval_chain_steps,approval-chains,ApprovalChainStep,10,id,TEXT,2,0,2,1,,0,0,0
approval_chains,approval-chains,ApprovalChain,7,id,TEXT,0,1,1,1,,0,0,0
aria_attachments,comms,AriaAttachment,12,id,UUID,2,0,2,0,,0,0,0
aria_brief_deliveries,comms,AriaBriefDelivery,6,id,UUID,1,0,2,1,,2,0,0
aria_brief_subscriptions,comms,AriaBriefSubscription,10,user_id,UUID,1,0,1,0,,0,5,0
aria_conversation_memory,comms,AriaConversationMemory,6,id,UUID,1,0,2,1,,0,0,0
aria_conversation_summaries,comms,AriaConversationSummary,7,conversation_id,UUID,1,0,0,0,,0,0,0
aria_conversations,comms,AriaConversation,5,id,UUID,1,4,1,0,,0,0,0
aria_feedback,comms,AriaFeedback,12,id,UUID,4,0,3,1,,0,0,0
aria_knowledge_articles,comms,AriaKnowledgeArticle,12,id,UUID,1,1,3,1,,0,5,0
aria_messages,comms,AriaMessage,6,id,UUID,1,2,1,0,,1,0,0
aria_query_logs,comms,AriaQueryLog,21,id,UUID,2,0,3,0,,0,9,0
articles,content,Article,8,id,UUID,1,0,1,0,,0,0,0
assets,operations,Asset,26,id,UUID,2,0,3,0,,0,0,3
attendance_audit_logs,hr,AttendanceAuditLog,7,id,UUID,3,0,3,0,,1,0,0
attendance_corrections,hr,AttendanceCorrection,16,id,UUID,3,0,3,0,,0,0,0
attendance_employee_shifts,hr,AttendanceEmployeeShift,7,id,UUID,2,0,3,0,,0,0,0
attendance_exceptions,hr,AttendanceException,11,id,UUID,2,0,2,0,,0,0,0
attendance_policies,hr,AttendancePolicy,17,id,UUID,1,0,1,1,,2,0,2
attendance_records,hr,AttendanceRecord,17,id,UUID,1,2,3,1,,0,0,1
attendance_shifts,hr,AttendanceShift,9,id,UUID,1,1,1,0,,0,0,0
audit_log,system,AuditLog,9,id,UUID,1,0,3,0,,1,0,0
auth_logs,core,AuthLog,8,id,UUID,1,0,3,0,,0,0,0
balance_transactions,hr,BalanceTransaction,9,id,UUID,2,0,1,0,,0,0,1
bank_accounts,finance,BankAccount,14,id,TEXT,2,2,2,0,yes,0,0,2
bank_transactions,finance,BankTransaction,20,id,UUID,5,0,3,0,,0,0,2
benefit_enrollments,hr,BenefitEnrollment,6,id,UUID,2,0,1,1,,0,0,0
benefits,hr,Benefit,11,id,TEXT,1,1,0,0,,0,0,1
blogs,content,Blog,9,id,UUID,1,0,1,0,,0,0,0
bnry_transactions,finance,BnryTransaction,8,id,UUID,0,0,1,0,,0,0,1
cash_advance_approval_decisions,finance,CashAdvanceApprovalDecision,11,id,UUID,3,0,3,1,,0,0,0
cash_advance_approval_steps,finance,CashAdvanceApprovalStep,14,id,UUID,1,0,1,1,,3,3,2
cash_advance_items,finance,CashAdvanceItem,10,id,UUID,2,0,1,0,,0,0,2
cash_advance_requests,finance,CashAdvanceRequest,29,id,UUID,3,2,6,1,yes,0,0,2
certificates,hr,Certificate,15,id,UUID,2,0,4,0,yes,1,1,0
chart_of_accounts,finance,ChartOfAccount,14,id,TEXT,2,7,2,0,yes,0,0,1
company_dates,comms,CompanyDate,9,id,UUID,1,0,1,0,,1,0,0
company_news,comms,CompanyNews,10,id,UUID,1,0,1,0,,1,0,0
company_policies,hr,CompanyPolicy,15,id,UUID,2,0,3,0,,0,0,0
consultant_invoices,hr,ConsultantInvoice,12,id,UUID,2,0,0,0,,0,0,4
conversation_members,comms,ConversationMember,6,"conversation_id,user_id",,2,0,1,0,,0,0,0
conversations,comms,Conversation,8,id,UUID,1,2,4,1,,0,0,0
credit_note_lines,finance,CreditNoteLine,11,id,TEXT,2,0,1,0,,0,0,5
credit_notes,finance,CreditNote,19,id,TEXT,3,1,3,1,yes,0,0,3
crm_accounts,sales-crm,Account,28,id,TEXT,2,3,6,1,,0,3,0
crm_activities,sales-crm,CrmActivity,13,id,TEXT,5,0,6,1,,0,0,0
crm_business_units,sales-crm,CrmBusinessUnit,9,id,TEXT,0,0,2,1,,0,0,0
crm_contacts,sales-crm,Contact,12,id,TEXT,1,2,3,0,,0,0,0
crm_lead_sources,sales-crm,LeadSource,8,id,TEXT,0,0,2,1,,0,0,0
crm_leads,sales-crm,Lead,19,id,TEXT,2,2,4,1,,0,3,0
crm_lost_reasons,sales-crm,LostReason,8,id,TEXT,0,0,2,1,,0,0,0
crm_notifications,operations,CrmNotification,12,id,UUID,0,0,2,0,,0,0,0
crm_opportunities,sales-crm,Opportunity,24,id,TEXT,3,4,7,1,,1,4,1
crm_opportunity_business_units,sales-crm,OpportunityBusinessUnit,16,id,TEXT,1,0,3,1,,1,1,1
crm_settings,sales-crm,CrmSettings,9,id,UUID,1,0,1,1,,0,3,0
crm_tasks,sales-crm,CrmTask,12,id,TEXT,3,0,3,0,,1,1,0
customer_advances,finance,CustomerAdvance,13,id,TEXT,0,0,2,0,,0,0,2
data_room_documents,investors,DataRoomDocument,10,id,UUID,1,0,0,0,,0,0,0
deals,operations,Deal,14,id,TEXT,2,0,1,0,,0,0,1
departments,core,Department,10,id,UUID,1,1,4,2,yes,0,0,0
desk_bookings,operations,DeskBooking,5,id,UUID,2,0,1,1,,0,0,0
document_sequences,finance,DocumentSequence,10,id,TEXT,1,0,1,1,,0,0,0
employee_agreements,hr,EmployeeAgreement,14,id,UUID,2,0,3,0,,0,0,0
entities,core,Entity,24,id,TEXT,0,35,1,1,yes,0,3,0
entity_tax_rates,finance,EntityTaxRate,8,id,UUID,0,0,1,0,,0,0,1
equity_monthly_salary,hr,EquityMonthlySalary,10,id,UUID,0,0,1,0,,1,0,0
esop_grants,hr,EsopGrant,24,id,UUID,1,0,0,0,,0,0,4
exchange_rates,finance,ExchangeRate,7,id,UUID,0,0,2,1,,0,0,1
expense_approval_decisions,finance,ExpenseApprovalDecision,13,id,UUID,3,0,3,1,,0,0,1
expense_approval_steps,finance,ExpenseApprovalStep,15,id,UUID,1,0,1,1,,3,3,2
expense_categories,finance,ExpenseCategory,9,id,TEXT,0,2,1,1,,0,0,1
expense_reports,finance,ExpenseReport,18,id,UUID,3,2,3,0,yes,0,0,1
expenses,finance,Expense,21,id,UUID,6,0,5,0,yes,0,0,1
file_uploads,system,FileUpload,14,id,UUID,0,0,2,0,yes,0,0,0
fiscal_periods,finance,FiscalPeriod,10,id,TEXT,1,0,2,1,,0,0,0
fixed_asset_categories,finance,FixedAssetCategory,16,id,UUID,0,0,2,1,,0,0,0
fixed_asset_count_lines,finance,FixedAssetCountLine,9,id,UUID,2,0,2,0,,0,0,0
fixed_asset_count_sessions,finance,FixedAssetCountSession,11,id,UUID,0,1,2,1,,0,0,0
fixed_asset_disposals,finance,FixedAssetDisposal,28,id,UUID,2,0,2,0,,0,0,9
fixed_asset_remeasurements,finance,FixedAssetRemeasurement,30,id,UUID,2,0,2,0,,0,0,10
fixed_asset_transfers,finance,FixedAssetTransfer,26,id,UUID,2,0,2,0,,0,0,2
fixed_assets,finance,FixedAsset,32,id,UUID,0,5,5,1,yes,0,0,6
fundraising_entities,investors,FundraisingEntity,5,key,TEXT,0,0,1,0,,0,0,0
goals,performance,Goal,10,id,UUID,1,0,1,0,,0,0,0
google_oauth_states,integrations,GoogleOauthState,5,state,TEXT,0,0,1,0,,0,0,0
helpdesk_comments,helpdesk,HelpdeskComment,6,id,UUID,2,0,1,0,,0,0,0
helpdesk_settings,helpdesk,HelpdeskSettings,16,id,UUID,1,0,1,1,,0,3,0
helpdesk_tickets,helpdesk,HelpdeskTicket,19,id,UUID,2,1,6,2,,1,0,0
investments,investors,Investment,13,id,UUID,1,0,0,0,,1,0,2
investor_accounts,investors,InvestorAccount,12,id,TEXT,1,1,3,0,,0,0,0
investor_activities,investors,InvestorActivity,9,id,TEXT,2,0,2,0,,0,0,0
investor_contacts,investors,InvestorContact,12,id,TEXT,2,0,4,0,,0,0,0
investor_leads,investors,InvestorLead,13,id,TEXT,1,0,3,0,,0,0,0
